business_status,formatted_address,name,price_level,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,lat,lng,census_code
OPERATIONAL,"200 Mall Cir Dr, Monroeville, PA 15146",Vickey's Soul Grill Restaurant & Catering,NA,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",5,40.4291856,-79.79570199999999,40.43053542989272,-79.79435217010726,40.42783577010728,-79.79705182989271,40.4291856,-79.795702,420035212002
OPERATIONAL,"413 Smithfield St, Pittsburgh, PA 15222","Vip Styles, INC.",NA,4.2,"['hair_care', 'health', 'point_of_interest', 'establishment']",95,40.439103,-79.999511,40.44041812989272,-79.99806942010727,40.43771847010727,-80.00076907989272,40.439103,-79.999511,420030201001
OPERATIONAL,"PPG Place, Fl 31, Pittsburgh, PA 15222",Virginia Humphries Real Estate,NA,3,"['real_estate_agency', 'point_of_interest', 'establishment']",2,40.4397928,-80.0031808,40.44114262989272,-80.00183097010728,40.43844297010727,-80.00453062989271,40.4397928,-80.0031808,420030201001
OPERATIONAL,"71 Orin St, Pittsburgh, PA 15235",Virtual Staffing Source,NA,5,"['point_of_interest', 'establishment']",2,40.4642925,-79.853033,40.46564427989271,-79.85174232010726,40.46294462010727,-79.85444197989271,40.4642925,-79.853033,420035232002
OPERATIONAL,"4501 Butler St, Pittsburgh, PA 15201",Walter's BBQ Southern Kitchen,2,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",909,40.4725446,-79.9593943,40.473846079892724,-79.95788457010728,40.47114642010727,-79.96058422989273,40.4725446,-79.9593943,420030901001
OPERATIONAL,"7365 Denniston Ave, Pittsburgh, PA 15218",Wilson’s Nite Out,NA,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",67,40.4196373,-79.8893514,40.42095972989272,-79.88792372010727,40.41826007010727,-79.89062337989272,40.4196373,-79.8893514,420035153001
OPERATIONAL,"226 Shady Ave, Pittsburgh, PA 15206","Wings & A Prayer, LLC",NA,4.5,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",123,40.4588022,-79.9222184,40.46014652989273,-79.92081752010728,40.45744687010728,-79.92351717989273,40.4588022,-79.9222184,420030708001
OPERATIONAL,"5730 Ellsworth Ave #3, Pittsburgh, PA 15232",Winning Smiles Pediatric Dental Care,NA,5,"['doctor', 'dentist', 'health', 'point_of_interest', 'establishment']",99,40.455293,-79.93122699999999,40.45672132989272,-79.93000322010727,40.45402167010728,-79.93270287989272,40.455293,-79.931227,420030705002
OPERATIONAL,"437 Turrett St, Pittsburgh, PA 15206",Wright Childcare Solutions,NA,5,"['point_of_interest', 'establishment']",6,40.4623296,-79.9098844,40.46358162989273,-79.90842337010727,40.46088197010729,-79.91112302989272,40.4623296,-79.9098844,420031209001
OPERATIONAL,"1441 Woods Run Ave, Pittsburgh, PA 15212",Young Brothers Bar,1,4.4,"['bar', 'point_of_interest', 'establishment']",266,40.4750786,-80.0349957,40.47646012989272,-80.03368227010728,40.47376047010727,-80.03638192989271,40.4750786,-80.0349957,420032716003
